Pushpa 2- The rule | 2024 | 8 | 0 | 170 | 1 | 1 | 1 | 1 | 1 | 1
Jigra  | 2024 | 6 | 0 | 140 | 2 | 1 | 2 | 1 | 2 | 1
The Fast and the furious | 2001 | 7 | 0 | 106 | 3 | 1 | 3 | 1 | 3 | 1
Interstellar | 2014 | 8 | 0 | 169 | 4 | 1 | 3 | 2 | 4 | 1
Anyone but you | 2023 | 8 | 0 | 112 | 5 | 1 | 3 | 3 | 5 | 1
Tall Girl 2 | 2022 | 6 | 0 | 97 | 6 | 1 | 3 | 4 | 6 | 1
Drishyam 2 | 2022 | 8 | 0 | 140 | 7 | 2 | 2 | 5 | 7 | 1
Oppenheimer | 2023 | 8 | 0 | 180 | 8 | 2 | 3 | 6 | 8 | 1
Roma | 2018 | 8 | 0 | 135 | 9 | 2 | 4 | 7 | 9 | 1
Portrait of a Lady on Fire | 2019 | 8 | 0 | 120 | 10 | 2 | 5 | 7 | 10 | 1
Drive My Car | 2021 | 8 | 0 | 179 | 11 | 2 | 6 | 5 | 11 | 1
Parasite | 2019 | 9 | 0 | 132 | 12 | 2 | 7 | 7 | 12 | 1
Mad Max: Fury Road | 2015 | 8 | 0 | 120 | 13 | 3 | 3 | 1 | 13 | 1
It | 2017 | 7 | 0 | 135 | 14 | 3 | 3 | 8 | 14 | 1
The 40-Year-Old Virgin | 2005 | 7 | 0 | 116 | 15 | 3 | 3 | 3 | 15 | 1
Crazy, Stupid, Love | 2011 | 7 | 0 | 118 | 16 | 3 | 3 | 5 | 16 | 1
Blade Runner 2049 | 2017 | 8 | 0 | 164 | 17 | 3 | 3 | 2 | 17 | 1
Wonder Woman 1984 | 2020 | 5 | 0 | 151 | 18 | 3 | 3 | 1 | 18 | 1
Prey | 2022 | 7 | 0 | 99 | 19 | 4 | 3 | 1 | 19 | 1
The Lodge | 2019 | 6 | 0 | 108 | 20 | 4 | 3 | 8 | 20 | 1
Palm Springs | 2020 | 7 | 0 | 90 | 21 | 4 | 3 | 3 | 21 | 1
The Big Sick | 2017 | 8 | 0 | 120 | 22 | 4 | 3 | 5 | 22 | 1
The Matrix | 1999 | 9 | 0 | 136 | 23 | 4 | 3 | 2 | 23 | 1
23337 | 2016 | 8 | 0 | 600 | 24 | 4 | 3 | 1 | 24 | 1
Midsommar | 2019 | 7 | 0 | 147 | 25 | 4 | 4 | 8 | 25 | 1
Booksmart | 2019 | 7 | 0 | 105 | 26 | 4 | 3 | 3 | 26 | 1
Avengers: Endgame | 2019 | 8 | 0 | 181 | 27 | 5 | 3 | 1 | 27 | 1
A Quiet Place | 2018 | 8 | 0 | 90 | 28 | 5 | 3 | 8 | 28 | 1
The Incredibles | 2004 | 8 | 0 | 115 | 29 | 5 | 3 | 9 | 29 | 1
The Notebook | 2004 | 8 | 0 | 123 | 30 | 5 | 3 | 5 | 30 | 1
Star Wars: A New Hope | 1977 | 9 | 0 | 121 | 31 | 5 | 3 | 2 | 31 | 1
Black Panther | 2018 | 7 | 0 | 134 | 32 | 5 | 3 | 1 | 32 | 1
Frozen | 2013 | 7 | 0 | 102 | 33 | 5 | 3 | 9 | 33 | 1
