seriel number	Title	Year	Age	rating	Ott_platform	Genre	Language	Duration	content_type	number_of_seasons	Director_name		Age	Total_number_of_directions
1	Pushpa 2- The rule	2024	13+	7.8	Netflix	Action	Telugu	170	movie		Sukumar		45	10
2	Jigra 	2024	13+	6.3	Netflix	Action	Hindi	140	movie		Rob Cohen		52	15
3	The Fast and the furious	2001	13+	7	Netflix	Action	English	106	movie		Christopher Nolan		47	20
4	Interstellar	2014	13+	8.3	Netflix	Sci-fi	English	169	movie		Emily Ting		34	5
5	Anyone but you	2023	13+	7.6	Netflix	Comedy	English	112	movie		Jeethu Joseph		50	8
6	Tall Girl 2	2022	13+	6	Netflix	Romantic	English	97	movie		Alfonso Cuarón		59	12
7	Drishyam 2	2022	13+	8.2	Amazon Prime 	Romance	Hindi	140	movie		Céline Sciamma		41	10
8	Oppenheimer	2023	all	8.4	Amazon Prime 	Thriller	English	180	movie		Ry?suke Hamaguchi		43	7
9	Roma	2018	13+	7.7	Amazon Prime 	Drama	Spanish	135	movie		Bong Joon-ho		49	15
10	Portrait of a Lady on Fire	2019	18+	8.1	Amazon Prime 	Drama	French	120	movie		George Miller		66	25
11	Drive My Car	2021	13+	7.6	Amazon Prime 	Romance	Japanese	179	movie		Andy Muschietti		41	6
12	Parasite	2019		8.6	Amazon Prime 	Drama	Korean	132	movie		Judd Apatow		38	9
13	Mad Max: Fury Road	2015	13+	8.1	HBO max	Action	English	120	movie		Glenn Ficarra		46	11
14	It	2017	18+	6.9	HBO max	Horror	English	135	movie		Denis Villeneuve		57	18
15	The 40-Year-Old Virgin	2005	18+	6.9	HBO max	Comedy	English	116	movie		Patty Jenkins		45	14
16	"Crazy, Stupid, Love"	2011	13+	7.4	HBO max	Romance	English	118	movie		Dan Trachtenberg		42	10
17	Blade Runner 2049	2017	13+	8	HBO max	Sci-Fi	English	164	movie		Severin Fiala		44	8
18	Wonder Woman 1984	2020		5.4	HBO max	Action	English	151	movie		Max Barbakow		36	13
19	Prey	2022	13+	7.2	Hulu	Action	English	99	movie		Michael Showalter		48	17
20	The Lodge	2019		6.2	Hulu	Horror	English	108	movie		The Wachowskis		54	19
21	Palm Springs	2020	18+	7.4	Hulu	Comedy	English	90	movie		James Franco		55	10
22	The Big Sick	2017	13+	8	Hulu	Romance	English	120	movie		Ari Aster		49	11
23	The Matrix	1999	all	8.7	Hulu	Sci-Fi	English	136	movie		Olivia Wilde		52	13
24	11/22/1963	2016	13+	8.1	Hulu	Action	English	600	movie		Anthony Russo		46	16
25	Midsommar	2019	all	7.1	Hulu	Horror	Spanish	147	movie		Joe Russo		44	14
26	Booksmart	2019	13+	7.2	Hulu	Comedy	English	105	movie		John Krasinski		48	9
27	Avengers: Endgame	2019	13+	8.4	Disney Plus	Action	English	181	movie		Brad Bird		50	11
28	A Quiet Place	2018	18+	7.5	Disney Plus	Horror	English	90	movie		Nick Cassavetes		42	7
29	The Incredibles	2004	13+	8	Disney Plus	Animation	English	115	movie		George Lucas		55	15
30	The Notebook	2004	all	7.8	Disney Plus	Romance	English	123	movie		Ryan Coogler		43	13
31	Star Wars: A New Hope	1977	all	8.6	Disney Plus	Sci-Fi	English	121	movie		Chris Buck		59	12
32	Black Panther	2018	13+	7.3	Disney Plus	Action	English	134	movie		Jennifer Lee		37	10
33	Frozen	2013	all	7.4	Disney Plus	Animation	English	102	movie		P. Vasu		51	8
34	Senapathi	2021	13+	7	Ahaa	Thriller	Telugu	145	movie		Abhinav Sunder Nayak		42	20
35	Bhamakalapam	2022	13+	6.8	Ahaa	Comedy	Telugu	125	movie		Chandoo Mondeti		53	11
